7/7/2021 21:02,9.62209E+33,Unfollow,2/2 Windsor,,,YEEZY BOOST 700 MNVN,,
7/7/2021 21:02,9.62209E+33,Unfollow,2/2 Windsor,,,YEEZY BOOST 700 MNVN ,,
7/7/2021 21:03,9.62209E+33,Unfollow,2/2 Windsor,,,YEEZY BOOST 700 MNVN ,,
7/7/2021 21:03,9.62209E+33,Unfollow,2/2 Windsor,,,YEEZY BOOST 700 MNVN ,,
7/7/2021 21:03,9.62209E+33,Unfollow,2/2 Windsor,,,YEEZY BOOST 700 MNVN ,,
7/7/2021 21:16,9.62209E+33,Unfollow,2/2 Windsor,,,YEEZY BOOST 700 MNVN ,,
7/7/2021 21:16,9.62209E+33,Unfollow,2/2 Windsor,,,YEEZY BOOST 700 MNVN ,,
7/8/2021 14:09,9.62209E+33,Unfollow,2/2 Windsor,,,YEEZY BOOST 700 MNVN ,,
7/8/2021 14:11,9.62209E+33,Unfollow,2/2 Windsor,,,YEEZY BOOST 700 MNVN ,,
7/11/2021 15:09,9.63208E+33,Unfollow,2/2 Windsor,,,YEEZY BOOST 700 MNVN ,,
7/11/2021 15:09,9.63208E+33,Unfollow,2/2 Windsor,,,YEEZY BOOST 700 MNVN ,,
7/11/2021 15:10,9.63208E+33,Unfollow,2/2 Windsor,,,YEEZY BOOST 700 MNVN 5,,
7/11/2021 18:12,9.62209E+33,BUG,5/19 Mt Run,,,,,
7/11/2021 18:12,9.62209E+33,Unfollow,5/19 Mt Run,,,YEEZY 450 CLOUD WHITE H68038        9.5,,
7/11/2021 18:12,9.6128E+21,WBLKX,5/19 Mt Run,,,,,
7/11/2021 18:12,9.62209E+33,Unfollow,5/19 Mt Run,,,YEEZY 450 ADULTS DARK SLATE        8,,
7/11/2021 18:12,9.6128E+21,WBLKX,5/19 Mt Run,,,,,
7/11/2021 18:12,9.6128E+21,WBLKX,5/19 Mt Run,,,,,
7/12/2021 10:42,9.63208E+33,Unfollow,5/19 Mt Run,,,YEEZY 450 KIDS GY0402        12K,,
8/2/2021 21:06,9.6128E+21,UNFOLLOW,7/1214 Deer Creek,,,Nike Dunk High Panda (2021) DD1399-103 7.5W,,
8/4/2021 20:47,9.62208E+33,UNFOLLOW,2/2 Windsor,,,Nike Dunk Low Lime Ice (W) 6,,
8/4/2021 20:47,9.6128E+21,UNFOLLOW,2/2 Windsor,,,Nike Dunk Low Lime Ice (W) DD1503-600 9,,
8/4/2021 20:47,9.62209E+33,UNFOLLOW,2/2 Windsor,,,adidas Yeezy Boost 350 V2 Cloud White (Reflective) 5,,
8/4/2021 20:47,9.62208E+33,UNFOLLOW,2/2 Windsor,,,Nike Dunk Low Lime Ice (W) 6,,
8/4/2021 20:47,9.6128E+21,UNFOLLOW,2/2 Windsor,,,Nike Dunk Low Lime Ice (W) DD1503-600 6.5,,
8/4/2021 20:47,9.6128E+21,UNFOLLOW,2/2 Windsor,,,Nike Dunk Low Lime Ice (W) 6,,
8/4/2021 20:47,9.62209E+33,UNFOLLOW,2/2 Windsor,,,adidas Yeezy Boost 350 V2 Synth (Reflective),,
8/4/2021 21:45,9.62209E+33,QGGNB,7/1214 Deer Creek,,,,,
8/4/2021 21:47,9.62209E+33,UNFOLLOW,7/1214 Deer Creek,,,adidas Yeezy Boost 350 V2 Cloud White (Reflective) 6,,
8/6/2021 23:05,9.62209E+33,UNFOLLOW,2/2 Windsor,,,adidas Yeezy Boost 700 Inertia EG7597 9.5,,
8/24/2021 18:02,1Z58W4F50313268078,unfollow,2/2 Windsor,,,Arabic Logo Hooded Sweatshirt,,
8/24/2021 18:03,1Z58W4F50313160844,unfollow,2/2 Windsor,,,Arabic Logo Hooded Sweatshirt,,
8/24/2021 18:03,1Z58W4F50313364768,unfollow,2/2 Windsor,,,Arabic Logo Hooded Sweatshirt,,
8/24/2021 18:04,1Z58W4F50313377834,unfollow,2/2 Windsor,,,Arabic Logo Hooded Sweatshirt,,
8/24/2021 18:05,1Z58W4F50313280009,unfollow,2/2 Windsor,,,Arabic Logo Hooded Sweatshirt,,
8/29/2021 19:50,9.6128E+21,unfollow,2/2 Windsor,,,Nike Dunk Low Crazy Camo (GS),,
8/29/2021 19:50,9.6128E+21,unfollow,2/2 Windsor,,,Nike Dunk Low Crazy Camo (GS),,
8/29/2021 19:50,9.6128E+21,unfollow,2/2 Windsor,,,Nike Dunk Low Crazy Camo (GS),,
8/29/2021 19:50,9.6128E+21,unfollow,2/2 Windsor,,,Nike Dunk Low Crazy Camo (GS),,
8/29/2021 19:51,9.6128E+21,unfollow,2/2 Windsor,,,Nike Dunk Low Crazy Camo (GS),,
8/29/2021 19:51,9.6128E+21,unfollow,2/2 Windsor,,,Nike Dunk Low Crazy Camo (GS),,
8/29/2021 19:51,9.6128E+21,unfollow,2/2 Windsor,,,Nike Dunk Low Crazy Camo (GS),,
8/29/2021 19:51,9.6128E+21,unfollow,2/2 Windsor,,,Nike Dunk Low Crazy Camo (GS),,
8/29/2021 19:51,9.6128E+21,unfollow,2/2 Windsor,,,Nike Dunk Low Crazy Camo (GS),,
8/29/2021 19:51,9.6128E+21,unfollow,2/2 Windsor,,,Nike Dunk Low Crazy Camo (GS),,
8/29/2021 19:50,9.6128E+21,unfollow,2/2 Windsor,,,Nike Dunk Low Crazy Camo (GS),,
8/29/2021 19:51,9.6128E+21,unfollow,2/2 Windsor,,,Nike Dunk Low Crazy Camo (GS),,
8/29/2021 19:52,9.6128E+21,unfollow,2/2 Windsor,,,Nike Dunk Low Crazy Camo (GS),,
8/29/2021 22:28,9.6128E+21,unfollow,8/23 Spring,,,Nike Dunk Low Crazy Camo (GS),,
8/29/2021 22:28,9.6128E+21,unfollow,8/23 Spring,,,Nike Dunk Low Crazy Camo (GS),,
